snip_id,task,snippet
15,"Catalan’s constant is a mathematical constant equal to 1/1 − 1/3² + 1/5² − 1/7² + 1/9² − …

Print Catalan’s constant to the first 1,000 decimal places.","import java.math.BigDecimal;

public class CatalanConstant {
    public static void main(String[] args) {
        BigDecimal one = BigDecimal.ONE;
        BigDecimal two = BigDecimal.valueOf(2);
        BigDecimal three = BigDecimal.valueOf(3);
        BigDecimal four = BigDecimal.valueOf(4);
        BigDecimal five = BigDecimal.valueOf(5);
        BigDecimal seven = BigDecimal.valueOf(7);
        BigDecimal nine = BigDecimal.valueOf(9);
        BigDecimal constant = one.divide(one, 1000, BigDecimal.ROUND_HALF_UP);
        BigDecimal i = two;

        while (i.compareTo(BigDecimal.valueOf(2001)) < 0) {
            if (i.remainder(four).compareTo(two) == 0) {
                constant = constant.subtract(one.divide(i.pow(2), 1000, BigDecimal.ROUND_HALF_UP));
            } else {
                constant = constant.add(one.divide(i.pow(2), 1000, BigDecimal.ROUND_HALF_UP));
            }
            i = i.add(BigDecimal.ONE);
        }

        System.out.println(constant);
    }
}
    "
16,"Draw 7 cubes in increasing size using ""╱"" (U+2571) for the diagonal edges, ""│"" (U+2502) for the vertical edges, ""─"" (U+2500) for the horizontal edges, and ""█"" (U+2588) for the vertices. The cubes should range from size 1 to size 7 with a blank line between each cube. A size 1 cube should look like:

    █────█
 ╱         ╱ │
█────█   │
│           │  █
│           │╱
█────█","public class CubeDraw {
    public static void main(String[] args) {
        for (int size = 1; size <= 7; size++) {
            drawCube(size);
            System.out.println();
        }
    }

    private static void drawCube(int size) {
        int width = size * 2 - 1;
        int height = size * 2;
        int midY = height / 2;

        for (int y = 0; y < height; y++) {
            for (int x = 0; x < width; x++) {
                boolean atEdge = x == 0 || x == width - 1 || y == 0 || y == height - 1;
                boolean isTop = y < midY;
                boolean isBottom = y > midY;

                if (atEdge) {
                    System.out.print(""█"");
                } else if (isTop && x == y + 1) {
                    System.out.print(""╱"");
                } else if (isTop && x == width - y - 2) {
                    System.out.print(""│"");
                } else if (isBottom && x == y - midY) {
                    System.out.print(""│"");
                } else if (isBottom && x == width - y - midY - 1) {
                    System.out.print(""╱"");
                } else {
                    System.out.print("" "");
                }
            }
            System.out.println();
        }
    }
}
    "
17,"Draw a size ascending range of Christmas trees using asterisks, ranging from size 3 to size 9, each tree separated by a blank line.

A size 3 tree should look like this, with a single centered asterisk for the trunk:

   *
  ***
 *****
   *","public class ChristmasTree {
    public static void main(String[] args) {
        for(int size=3; size<=9; size++){
            int spaces = size - 2;
            int asterisks = 1;
            for(int i=1; i<=size; i++){
                for(int j=1; j<=spaces+1; j++){
                    System.out.print("" "");
                }
                for(int j=1; j<=asterisks; j++){
                    System.out.print(""*"");
                }
                System.out.println();
                spaces--;
                asterisks += 2;
            }
            for(int i=1; i<=(size-2); i++){
                System.out.print("" "");
            }
            System.out.println(""*"");
            System.out.println();
        }
    }
}
    "
18,"Draw a size ascending range of diamonds using the numbers 1 to 9, ranging from size 1 to size 9, each diamond separated by a blank line.

A size 1 diamond should look like this, a single centered 1:
         1
With the largest size 9 diamond looking like this:

                 1
               121
             12321
           1234321
         123454321
      12345654321
     1234567654321
   123456787654321
 12345678987654321
   123456787654321
     1234567654321
       12345654321
         123454321
           1234321
             12321
               121
                 1","public class Diamond {

    public static void main(String[] args) {
        int size = 9;
        for (int i = 1; i <= size; i++) {
            int space = size - i;
            int numCount = i * 2 - 1;
            for (int j = 0; j < space; j++) {
                System.out.print("" "");
            }
            for (int k = 1; k <= numCount; k++) {
                System.out.print(k > i ? (numCount - k + 1) : k);
            }
            System.out.println();
        }
        for (int i = size - 1; i >= 1; i--) {
            int space = size - i;
            int numCount = i * 2 - 1;
            for (int j = 0; j < space; j++) {
                System.out.print("" "");
            }
            for (int k = 1; k <= numCount; k++) {
                System.out.print(k > i ? (numCount - k + 1) : k);
            }
            System.out.println();
        }
    }
}
    "
19,"For each fraction argument a/b, print its decimal expansion. If the decimal expands infinitely, print the finite part followed by the repeating part in parenthesis.","import java.util.Scanner;

public class FractionToDecimal {
    public static void main(String[] args) {
        Scanner input = new Scanner(System.in);
        System.out.print(""Enter number of fractions: "");
        int n = input.nextInt();
        for (int i = 0; i < n; i++) {
            System.out.print(""Enter fraction (a/b): "");
            String fraction = input.next();
            int a = Integer.parseInt(fraction.split(""/"")[0]);
            int b = Integer.parseInt(fraction.split(""/"")[1]);
            int q = a / b;
            int r = a % b;
            StringBuilder decimal = new StringBuilder();
            decimal.append(q);
            decimal.append(""."");
            int count = 0;
            while (r != 0 && count < 15) {
                r *= 10;
                q = r / b;
                r = r % b;
                decimal.append(q);
                count++;
            }
            if (r == 0) {
                System.out.println(decimal);
            } else {
                String nonRepeating = decimal.substring(0, decimal.length() - count - 1);
                String repeating = decimal.substring(decimal.length() - count - 1);
                System.out.println(nonRepeating + ""("" + repeating + "")"");
            }
        }
        input.close();
    }
}
    "
20,"For each fraction argument a/b, reduce it to its simplest form.","import java.util.Scanner;

public class FractionReduction {
    public static int gcd(int a, int b) {
        if (b == 0) {
            return a;
        } else {
            return gcd(b, a % b);
        }
    }

    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int a, b, g;
        String[] input;
        while (sc.hasNextLine()) {
            input = sc.nextLine().split(""/"");
            a = Integer.parseInt(input[0]);
            b = Integer.parseInt(input[1]);
            g = gcd(a, b);
            System.out.println(a/g + ""/"" + b/g);
        }
    }
}
    "
21,"For each integer argument print the integer spelled out in English.

For example: 748 becomes seven hundred and forty-eight.

The integers will be in the range of 0 (zero) to 1,000 (one thousand) inclusive.","public class NumberToWords {
    public static void main(String[] args) {
        for (String arg: args) {
            int number = Integer.parseInt(arg);
            System.out.println(numberToWords(number));
        }
    }

    private static String numberToWords(int number) {
        if (number == 0) {
            return ""zero"";
        }

        String[] onesPlace = {"""", ""one"", ""two"", ""three"", ""four"", ""five"", ""six"", ""seven"", ""eight"", ""nine"", ""ten"", ""eleven"", ""twelve"", ""thirteen"", ""fourteen"", ""fifteen"", ""sixteen"", ""seventeen"", ""eighteen"", ""nineteen""};

        String[] tensPlace = {"""", """", ""twenty"", ""thirty"", ""fourty"", ""fifty"", ""sixty"", ""seventy"", ""eighty"", ""ninety""};

        String words = """";

        if (number / 1000 > 0) {
            words += numberToWords(number / 1000) + "" thousand "";
            number %= 1000;
        }

        if (number / 100 > 0) {
            words += onesPlace[number / 100] + "" hundred "";
            number %= 100;
        }

        if (number >= 20) {
            words += tensPlace[number / 10] + "" "";
            number %= 10;
        }

        if (number > 0) {
            words += onesPlace[number] + "" "";
        }

        return words.trim();
    }
}
    "
22,"For each integer argument, print the argument and its ordinal suffix (e.g. 1st, 2nd, 3rd, 112th).

The integers will be in the range of 0 to 999 inclusive.","public class OrdinalSuffix {

    public static void main(String[] args) {
        for (int i = 0; i < args.length; i++) {
            int num = Integer.parseInt(args[i]);
            String suffix;
            int mod100 = num % 100;
            if (mod100 >= 11 && mod100 <= 13) {
                suffix = ""th"";
            } else {
                switch (num % 10) {
                    case 1:
                        suffix = ""st"";
                        break;
                    case 2:
                        suffix = ""nd"";
                        break;
                    case 3:
                        suffix = ""rd"";
                        break;
                    default:
                        suffix = ""th"";
                        break;
                }
            }
            System.out.println(num + suffix);
        }
    }
}
    "
23,"For each numeric argument in Arabic numerals, print the same number in Roman numerals.

You may use either ASCII or UTF-8 (U+2160 to U+2188) for Roman numerals.

The numbers range from 1 to 3999 inclusive.","public class ArabicToRoman {

    public static void main(String[] args) {
        for (String arg : args) {
            int num = Integer.parseInt(arg);
            if (num < 1 || num > 3999) {
                System.out.println(""Invalid input: "" + num);
                continue;
            }
            System.out.println(num + "" in Roman numerals: "" + toRoman(num));
        }
    }

    private static final String[] ROMAN_NUMERALS = {""M"", ""CM"", ""D"", ""CD"", ""C"", ""XC"", ""L"", ""XL"", ""X"", ""IX"", ""V"", ""IV"", ""I""};
    private static final int[] VALUES = {1000, 900, 500, 400, 100, 90, 50, 40, 10, 9, 5, 4, 1};

    public static String toRoman(int num) {
        StringBuilder sb = new StringBuilder();
        for (int i = 0; i < VALUES.length; i++) {
            while (num >= VALUES[i]) {
                sb.append(ROMAN_NUMERALS[i]);
                num -= VALUES[i];
            }
        }
        return sb.toString();
    }
}
    "
24,"Given a date in the YYYY-MM-DD format between 1583-01-01 and 9999-12-31 inclusive, output the English name of the corresponding day of the week.","import java.time.DayOfWeek;
import java.time.LocalDate;
import java.time.format.DateTimeFormatter;
import java.util.Scanner;

public class DayOfWeekFinder {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.println(""Enter the date in YYYY-MM-DD format"");
        String dateInput = scanner.nextLine();
        DateTimeFormatter formatter = DateTimeFormatter.ofPattern(""yyyy-MM-dd"");
        LocalDate date = LocalDate.parse(dateInput, formatter);
        DayOfWeek dayOfWeek = date.getDayOfWeek();
        System.out.println(dayOfWeek);
    }
}
    "
25,"Given a string, output the hexdump of the string as given by the xxd utility using the default settings, as described below.

Divide up the input string into groups of 16 bytes (16 octets). For each group, print in order:

The (hexadecimal, lowercase) index of the starting octet, padded with zeros to eight hexadecimal digits
A single colon (:), followed by a single space.
8 space-separated pairs of octets, with each pair printed as 4 hexadecimal digits
Spaces to pad to 51 bytes
The original 16 bytes, except with newline replaced with full stop (.)","import java.util.Scanner;

public class HexDump {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        String input = sc.nextLine();
        int length = input.length();
        int currentIndex = 0;
        while (currentIndex < length) {
            StringBuilder hexdump = new StringBuilder();
            // index of the starting octet
            String hexIndex = Integer.toHexString(currentIndex);
            hexIndex = (""00000000"" + hexIndex).substring(hexIndex.length());
            hexdump.append(hexIndex);
            hexdump.append("": "");

            // 8 octets in a group
            int groupSize = 8;
            for (int i = 0; i < groupSize; i++) {
                if (currentIndex + i < length) {
                    // octet to hexadecimal
                    String octet = Integer.toHexString(input.charAt(currentIndex + i) & 0xFF);
                    octet = (octet.length() < 2) ? ""0"" + octet : octet;
                    hexdump.append(octet);
                    hexdump.append("" "");
                } else {
                    hexdump.append(""   "");
                }
            }
            hexdump.append("" "");

            // original 16 bytes
            for (int i = 0; i < groupSize; i++) {
                if (currentIndex + i < length) {
                    char c = input.charAt(currentIndex + i);
                    hexdump.append((c == '\n') ? ""."" : c);
                } else {
                    hexdump.append("" "");
                }
            }
            System.out.println(hexdump);
            currentIndex += groupSize;
        }
    }
}"
26,"In the Gregorian calendar, a leap year is created by extending February to 29 days in order to keep the calendar year synchronized with the astronomical year. These longer years occur in years which are multiples of 4, with the exception of centennial years that aren’t multiples of 400.

Write a program to print all the leap years from the year 1800 up to and including 2400.","public class LeapYearPrinter {

    public static void main(String[] args) {
        for (int year = 1800; year <= 2400; year++) {
            if (isLeapYear(year)) {
                System.out.println(year);
            }
        }
    }

    private static boolean isLeapYear(int year) {
        if (year % 4 != 0) {
            return false;
        } else if (year % 100 != 0) {
            return true;
        } else if (year % 400 != 0) {
            return false;
        } else {
            return true;
        }
    }

}
    "
27,"Pascal’s triangle is a triangular pattern of integers formed by the binomial coefficients.

Print the first 20 rows of Pascal’s triangle.","public class PascalTriangle {
    public static void main(String[] args) {

        //define number of rows
        int rows = 20;

        //iterating through rows
        for(int i = 0; i < rows; i++) {
            int number = 1;
            System.out.printf(""%"" + (rows - i) * 2 + ""s"", """");
            for(int j = 0; j <= i; j++) {
                System.out.printf(""%4d"", number);
                number = number * (i - j) / (j + 1);
            }
            System.out.println();
        }
    }
}
    "
28,"Print 2π=τ (tau) to the first 1,000 decimal places.","import java.math.BigDecimal;

public class TauCalculator {
    public static void main(String[] args) {
        BigDecimal tau = BigDecimal.valueOf(2).multiply(BigDecimal.valueOf(Math.PI));
        System.out.printf(""%.1000f"", tau);
    }
}"
29,"Print a 10×10 grid of the numbers 0 to 99 inclusive. Starting at the top left the numbers should spiral clockwise towards the centre, be right aligned, and have a space between each number.

The full grid should look like this:

 0  1  2  3  4  5  6  7  8  9
35 36 37 38 39 40 41 42 43 10
34 63 64 65 66 67 68 69 44 11
33 62 83 84 85 86 87 70 45 12
32 61 82 95 96 97 88 71 46 13
31 60 81 94 99 98 89 72 47 14
30 59 80 93 92 91 90 73 48 15
29 58 79 78 77 76 75 74 49 16
28 57 56 55 54 53 52 51 50 17
27 26 25 24 23 22 21 20 19 18","public class SpiralGrid {
    public static void main(String[] args) {
        int n = 10;
        int[][] grid = new int[n][n];
        int count = 0;
        int rowStart = 0, rowEnd = n-1, colStart = 0, colEnd = n-1;

        while (rowStart <= rowEnd && colStart <= colEnd) {
            for (int i=colStart; i<=colEnd; i++) {
                grid[rowStart][i] = count++;
            }
            rowStart++;

            for (int i=rowStart; i<=rowEnd; i++) {
                grid[i][colEnd] = count++;
            }
            colEnd--;

            if (rowStart <= rowEnd) {
                for (int i=colEnd; i>=colStart; i--) {
                    grid[rowEnd][i] = count++;
                }
                rowEnd--;
            }

            if (colStart <= colEnd) {
                for (int i=rowEnd; i>=rowStart; i--) {
                    grid[i][colStart] = count++;
                }
                colStart++;
            }
        }

        for (int i=0; i<n; i++) {
            for (int j=0; j<n; j++) {
                System.out.printf(""%3d "", grid[i][j]);
            }
            System.out.println();
        }
    }
}
    "
30,"Print all the prime numbers from 1 to 10,000 inclusive, each on their own line.","public class PrimeNumbers {
    public static void main(String[] args) {
        System.out.println(""Prime numbers from 1 to 10,000 inclusive:"");
        for (int i = 2; i <= 10000; i++) {
            boolean isPrime = true;
            for (int j = 2; j <= Math.sqrt(i); j++) {
                if (i % j == 0) {
                    isPrime = false;
                    break;
                }
            }
            if (isPrime) {
                System.out.println(i);
            }
        }
    }
}
    "
31,"Print 𝑒 (Euler’s number) to the first 1,000 decimal places.","import java.math.BigDecimal;

public class EulerNumber {
    public static void main(String[] args) {
        BigDecimal e = BigDecimal.valueOf(2);
        BigDecimal i = BigDecimal.valueOf(2);
        BigDecimal factorial = BigDecimal.valueOf(2);

        for (int j = 2; j <= 1000; j++) {
            factorial = factorial.multiply(BigDecimal.valueOf(j));
            e = e.add(BigDecimal.ONE.divide(factorial, 1000, BigDecimal.ROUND_HALF_UP));
        }

        System.out.println(e);
    }
}"
32,"Print the Euler–Mascheroni constant γ (gamma) to the first 1,000 decimal places.","import java.math.BigDecimal;

public class EulerMascheroniConstant {
    public static void main(String[] args) {
        BigDecimal eulerMascheroni = BigDecimal.ZERO;
        for (int n = 1; n <= 100000; n++) {
            eulerMascheroni = eulerMascheroni.add(BigDecimal.ONE.divide(BigDecimal.valueOf(n), 1000, BigDecimal.ROUND_HALF_UP));
            if (n % 1000 == 0) {
                System.out.println(""Euler–Mascheroni constant γ (gamma) to the first "" + n + "" decimal places: "" + eulerMascheroni.subtract(BigDecimal.valueOf(Math.log(n))).toString());
            }
        }
        System.out.println(""Euler–Mascheroni constant γ (gamma) to the first 1000 decimal places: "" + eulerMascheroni.subtract(BigDecimal.valueOf(Math.log(100000))).toString());
    }
}
    "
33,"Print the following hex ASCII table, taken from man 7 ascii.

   2 3 4 5 6 7
 -------------
0:   0 @ P ` p
1: ! 1 A Q a q
2: "" 2 B R b r
3: # 3 C S c s
4: $ 4 D T d t
5: % 5 E U e u
6: & 6 F V f v
7: ' 7 G W g w
8: ( 8 H X h x
9: ) 9 I Y i y
A: * : J Z j z
B: + ; K [ k {
C: , < L \ l |
D: - = M ] m }
E: . > N ^ n ~
F: / ? O _ o DEL","public class AsciiTable {
    public static void main(String[] args) {
        System.out.println(""    2 3 4 5 6 7 "");
        System.out.println(""  -------------"");
        for (int i = 0; i < 16; i++) {
            String hex = Integer.toHexString(i).toUpperCase();
            System.out.print(hex + "": "");
            for (int j = 0; j < 6; j++) {
                int value = i * 6 + j;
                if (value <= 127) {
                    char c = (char) value;
                    System.out.print(c + "" "");
                }
            }
            System.out.println();
        }
    }
}
    "
34,"Print the following tongue twisters with a blank line between each one:

How much wood would a woodchuck chuck,
If a woodchuck could chuck wood?
A woodchuck would chuck all the wood he could chuck
If a woodchuck would chuck wood.

Peter Piper picked a peck of pickled peppers.
A peck of pickled peppers Peter Piper picked.
If Peter Piper picked a peck of pickled peppers,
Where's the peck of pickled peppers Peter Piper picked?

She sells seashells by the seashore,
The shells she sells are seashells, I'm sure.
So if she sells seashells on the seashore,
Then I'm sure she sells seashore shells.","public class TongueTwisters {

    public static void main(String[] args) {
        System.out.println(""How much wood would a woodchuck chuck,\n"" +
                ""If a woodchuck could chuck wood?\n"" +
                ""A woodchuck would chuck all the wood he could chuck\n"" +
                ""If a woodchuck would chuck wood.\n"");

        System.out.println(""Peter Piper picked a peck of pickled peppers.\n"" +
                ""A peck of pickled peppers Peter Piper picked.\n"" +
                ""If Peter Piper picked a peck of pickled peppers,\n"" +
                ""Where's the peck of pickled peppers Peter Piper picked?\n"");

        System.out.println(""She sells seashells by the seashore,\n"" +
                ""The shells she sells are seashells, I'm sure.\n"" +
                ""So if she sells seashells on the seashore,\n"" +
                ""Then I'm sure she sells seashore shells."");
    }
}
    "
35,"Print the Golden ratio φ (phi) to the first 1,000 decimal places.","import java.math.BigDecimal;

public class GoldenRatio {
    public static void main(String[] args) {
        int decimalPlaces = 1000;
        BigDecimal phi = BigDecimal.valueOf(Math.sqrt(5)).add(BigDecimal.ONE).divide(BigDecimal.valueOf(2), decimalPlaces, BigDecimal.ROUND_HALF_UP);
        System.out.println(phi);
    }
}
    "
